domain,epochs,iter,样本数,F1,EM
bridgesplinter,10,2,2048,0.8679,0.7593
bridgesplinter,10,2,1024,0.8627,0.7453
bridgesplinter,10,2,128,0.7139,0.5724
bridgesplinter,10,2,32,0.5528,0.4299
bridgesplinter,10,2,16,0.2886,0.1659
bridgesplinter,10,2,256,0.7756,0.6449
bridgesplinter,10,2,512,0.8132,0.6776
bridgesplinter,10,2,64,0.6164,0.4790
bridgesplinter,10,2,2048,0.8903,0.7991
bridgesplinter,10,2,2844,0.9284,0.8762
bridgesplinter,10,2,1024,0.8684,0.7593
bridgesplinter,10,2,128,0.7172,0.5864
bridgesplinter,10,2,32,0.4379,0.2897
bridgesplinter,10,2,16,0.4155,0.2734
bridgesplinter,10,2,2844,0.9350,0.8785
bridgesplinter,10,2,256,0.7913,0.6355
bridgesplinter,10,2,512,0.8073,0.6612
bridgesplinter,10,2,64,0.6497,0.5023
bridgesplinter,10,2,2048,0.8888,0.7991
bridgesplinter,10,2,1024,0.8370,0.7033
bridgesplinter,10,2,128,0.7056,0.5514
bridgesplinter,10,2,32,0.5940,0.4089
bridgesplinter,10,2,16,0.3275,0.1752
bridgesplinter,10,2,256,0.7632,0.6332
bridgesplinter,10,2,512,0.8326,0.7056
bridgesplinter,10,2,64,0.6513,0.4673
bridgesplinter,10,2,2048,0.8920,0.7874
bridgesplinter,10,2,1024,0.8692,0.7570
bridgesplinter,10,2,128,0.6948,0.5397
bridgesplinter,10,2,2844,0.9347,0.8762
bridgesplinter,10,2,2844,0.9294,0.8645
bridgesplinter,10,2,32,0.5502,0.3902
bridgesplinter,10,2,16,0.2907,0.1776
bridgesplinter,10,2,256,0.7895,0.6472
bridgesplinter,10,2,512,0.7961,0.6472
bridgesplinter,10,2,64,0.6705,0.4766
bridgesplinter,10,2,2048,0.8799,0.7827
bridgesplinter,10,2,1024,0.8403,0.7313
bridgesplinter,10,2,128,0.7496,0.6168
bridgesplinter,10,2,32,0.5050,0.3505
bridgesplinter,10,2,16,0.3433,0.1846
bridgesplinter,10,2,2844,0.9262,0.8598
bridgesplinter,10,2,256,0.7831,0.6425
bridgesplinter,10,2,512,0.8199,0.6822
bridgesplinter,10,2,64,0.6527,0.4930
bridgesplinter,10,2,2048,0.8772,0.7734
bridgesplinter,10,2,1024,0.8275,0.7033
bridgesplinter,10,2,128,0.7369,0.5794
bridgereview,10,2,2048,0.8841,0.7827
bridgereview,10,2,512,0.8334,0.7033
bridgereview,10,2,1024,0.8487,0.7150
bridgereview,10,2,16,0.1130,0.0607
bridgereview,10,2,128,0.6606,0.5187
bridgereview,10,2,2844,0.9175,0.8505
bridgereview,10,2,256,0.7916,0.6706
bridgereview,10,2,64,0.5320,0.3621
bridgereview,10,2,32,0.1498,0.0280
bridgereview,10,2,2048,0.8965,0.7967
bridgereview,10,2,512,0.8312,0.6939
bridgereview,10,2,1024,0.8810,0.7710
bridgereview,10,2,16,0.0373,0.0023
bridgereview,10,2,128,0.6985,0.5444
bridgereview,10,2,256,0.7902,0.6589
